agency_name,code
AC Yosemite,332-899
Alturas City,616-378
Amador Water Agency,797-545
American Canyon City PWD,792-908
American Valley CSD,076-408
"Amiri, Haleh",963-252
Anaheim City,297-091
Anderson City,420-084
Angels City,885-230
Arcata City,546-763
Atwater City,957-306
Auburn City,146-827
Avalon City,036-416
Avila Beach CSD,396-987
"Baer, William",507-088
Bartolomei Tommerick Bartolomei Properties LLC,002-705
Bear Valley CSD,272-104
"Bear Valley Water District (Bear Valley, CA)",931-539
Beaumont City,674-060
Benicia City,376-589
Biggs City,598-272
Bohemian Club,095-988
Brawley City,840-159
Brentwood City,978-697
Brown-Forman Corporation,314-796
Burbank City DPW,249-944
Burlingame City PWD,988-616
Butte CSA,036-283
Ca Dept of Corrections & Rehabilitation,507-398
Ca Dept of Corrections Imperial,514-207
Ca Dept of Corrections San Luis Obispo,598-009
Ca Dept of Forestry Georgetown Calfire,021-384
Ca Dept of Forestry Jamestown,415-789
Ca Dept of Forestry Sacramento,567-268
Ca Dept of Forestry Sanger,982-782
Ca Dept of Forestry Springville,587-029
Ca Dept of Parks & Rec Gustine,925-060
Ca Dept of Parks & Rec Lebec,091-684
Ca Dept of Parks & Rec Orick,367-055
Ca Dept of Parks & Rec Tahoma,373-938
CA Dept of Transportation District 10,314-959
CA Dept of Transportation District 10 R5S,407-949
CA Dept of Transportation District 3,288-579
CA Dept of Transportation District 6 Fresno,961-452
CA Dept of Transportation District 9 Bishop R6,204-982
Calaveras Cnty Water District,855-118
Calexico City,430-079
California American Water Company Monterey,126-596
California Hot Springs Water Company,941-803
Calipatria City,330-387
Calistoga City PWD,930-757
Camarillo Sanitary District,727-602
Camrosa Water District,883-404
Carmel Area Wastewater District,801-573
Carpinteria SD,366-931
Central Contra Costa Sanitary District,314-142
Central Marin Sanitation Agency,305-262
Chawanakee Unified School District,208-503
Chester PUD,735-885
Chico City,230-450
Children's Hospital Central California,475-390
City of El Paso de Robles,040-157
City of Pacifica,979-092
Cloverdale City,976-344
Clovis City,261-510
Coachella SD,682-843
Coachella Valley WD,590-049
Colfax City,924-402
College of the Redwoods,368-097
Colton City,080-289
Colton/San Bernardino RTT&WRA,971-425
Colusa City,296-003
"Consolidated Tribal Health Project, Inc.",276-461
Corning City,110-402
Corona City DWP,336-442
"Country Life MHRVP Asset Partners, L.P.",905-837
County of San Luis Obispo Dept. of Public Works,605-951
Covelo CSD,033-816
Crescent City,525-966
Crockett Community Services District,930-385
Cutler-Orosi JT Powers WW Authority,735-132
Danco Builders,895-380
Date Gardens Asset Partners LP,731-107
Davis City,953-977
Deer Meadow Leachfield Service,186-074
Del Rio East HOA,121-878
Del Rio West by Paramount LLC,895-451
Delta Diablo,830-799
Desert Vista Village LLC,813-819
"Disinger, Margaret",688-510
Dodge Ridge Corporation,616-862
Donner Summit Public Utilities District,169-994
Drake Development LLC,184-010
"DRB Riverland, LLC",137-281
Dublin San Ramon Services District (WWTP NPDES & SSO),266-366
Dunsmuir City,155-043
E&J Gallo Winery,823-569
East Bay Dischargers Authority,543-010
East Bay MUD,088-359
East Bay MUD (WPCP),198-824
Eastern Municipal Water District,813-437
El Centro City,838-018
El Dorado Cnty Env Mgmt Dept,100-845
El Dorado Irrigation District,821-131
Elk Grove Unified School District,362-550
Elsinore Valley Municipal Water Dist,584-109
Encina Wastewater Authority,906-033
Escondido City,822-478
Eureka City,252-835
"Evergreen Destination Holdings, LLC",358-533
Fairfield Suisun Sewer District,464-665
Fallbrook Public Utility District,780-779
"Family Ranch, Inc.",577-134
"Fernandez, Albert & Zinia",379-039
Ferndale City,916-374
Forestville Water District,702-511
Fort Bragg City,726-710
Fortuna City,417-039
French Ranch LLC,978-405
Fresno County,813-948
"Fry, April & Simon dba Los Banos West I-5 KOA",583-524
