agency_name,facility_types,approx_pop,contact_person,contact_title,contact_phone,contact_email,rand_numb
US Navy Naval Facilities Engineering Command Southwest,Treatment | Disposal,488204,Person from US Navy Naval Facilities Engineering Command Southwest,Job Title,1-800-555-2804,person@agency.gov,4
US Navy Treasure Island,Interception | Treatment | Disposal,691245,Person from US Navy Treasure Island,Job Title,1-800-555-6287,person@agency.gov,7
US Marine Corps Base Camp Pendleton,Interception | Treatment | Disposal,673396,Person from US Marine Corps Base Camp Pendleton,Job Title,1-800-555-6800,person@agency.gov,6
"US Army Garrison, Presidio of Monterey",Interception | Treatment,492312,"Person from US Army Garrison, Presidio of Monterey",Job Title,1-800-555-3977,person@agency.gov,8
Clovis City,Treatment,52757,Person from Clovis City,Job Title,1-800-555-3942,person@agency.gov,5
Placerville City,Collection | Interception | Treatment | Disposal,70616,Person from Placerville City,Job Title,1-800-555-1023,person@agency.gov,1
Malaga CWD,Treatment,341508,Person from Malaga CWD,Job Title,1-800-555-6418,person@agency.gov,5
Ca Dept of Corrections Imperial,Collection | Interception | Treatment,538180,Person from Ca Dept of Corrections Imperial,Job Title,1-800-555-8509,person@agency.gov,2
Los Angeles County Sanitation Districts,Collection | Interception | Treatment | Disposal,365249,Person from Los Angeles County Sanitation Districts,Job Title,1-800-555-7244,person@agency.gov,1
San Francisco International Airport,Interception | Treatment | Disposal,698870,Person from San Francisco International Airport,Job Title,1-800-555-2840,person@agency.gov,6
Martinez Shell Refining Company,Collection | Interception | Treatment | Disposal,818525,Person from Martinez Shell Refining Company,Job Title,1-800-555-3198,person@agency.gov,1
USS-Posco Industries,Treatment,227705,Person from USS-Posco Industries,Job Title,1-800-555-9301,person@agency.gov,5
"Lehigh Southwest Cement Company, Permanente Facility",Interception | Treatment | Disposal,125213,"Person from Lehigh Southwest Cement Company, Permanente Facility",Job Title,1-800-555-3949,person@agency.gov,6
Truckee Meadows Water Authority,Interception | Treatment,797815,Person from Truckee Meadows Water Authority,Job Title,1-800-555-3660,person@agency.gov,8
American Canyon City PWD,Interception | Treatment,806035,Person from American Canyon City PWD,Job Title,1-800-555-6213,person@agency.gov,8
Arcata City,Interception | Treatment,444085,Person from Arcata City,Job Title,1-800-555-3028,person@agency.gov,8
Auburn City,Interception | Treatment | Disposal,226772,Person from Auburn City,Job Title,1-800-555-6216,person@agency.gov,6
Avalon City,Collection | Treatment,361353,Person from Avalon City,Job Title,1-800-555-8019,person@agency.gov,3
Benicia City,Treatment | Disposal,642767,Person from Benicia City,Job Title,1-800-555-7972,person@agency.gov,4
Brawley City,Treatment | Disposal,307396,Person from Brawley City,Job Title,1-800-555-1776,person@agency.gov,4
Brentwood City, Interception | Disposal,585126,Person from Brentwood City,Job Title,1-800-555-3786,person@agency.gov,10
Burlingame City PWD,Interception | Treatment | Disposal,888176,Person from Burlingame City PWD,Job Title,1-800-555-8142,person@agency.gov,7
Burbank City DPW, Interception | Disposal,275948,Person from Burbank City DPW,Job Title,1-800-555-2931,person@agency.gov,10
City of Pacifica,Interception | Treatment | Disposal,520535,Person from City of Pacifica,Job Title,1-800-555-7074,person@agency.gov,6
Calexico City,Collection | Interception | Treatment | Disposal,587896,Person from Calexico City,Job Title,1-800-555-8599,person@agency.gov,1
Ca Dept of Corrections San Luis Obispo, Interception | Disposal,245125,Person from Ca Dept of Corrections San Luis Obispo,Job Title,1-800-555-6346,person@agency.gov,10
Calipatria City,Interception | Treatment,631320,Person from Calipatria City,Job Title,1-800-555-7312,person@agency.gov,8
Encina Wastewater Authority,Interception | Treatment,907563,Person from Encina Wastewater Authority,Job Title,1-800-555-2270,person@agency.gov,8
Carmel Area Wastewater District,Collection | Interception | Treatment,866690,Person from Carmel Area Wastewater District,Job Title,1-800-555-2596,person@agency.gov,2
Carpinteria SD,Collection | Treatment,499586,Person from Carpinteria SD,Job Title,1-800-555-3519,person@agency.gov,3
Central Contra Costa Sanitary District,Interception | Treatment | Disposal,425589,Person from Central Contra Costa Sanitary District,Job Title,1-800-555-7466,person@agency.gov,6
Central Marin Sanitation Agency,Treatment,514257,Person from Central Marin Sanitation Agency,Job Title,1-800-555-8857,person@agency.gov,5
Live Oak City, Interception | Disposal,238364,Person from Live Oak City,Job Title,1-800-555-5749,person@agency.gov,10
Merced City,Treatment | Disposal,327204,Person from Merced City,Job Title,1-800-555-1420,person@agency.gov,4
Redding City,Interception | Treatment | Disposal,309119,Person from Redding City,Job Title,1-800-555-9798,person@agency.gov,6
Cloverdale City,Treatment,300764,Person from Cloverdale City,Job Title,1-800-555-5711,person@agency.gov,5
Coachella SD,Collection | Interception | Treatment | Disposal,257697,Person from Coachella SD,Job Title,1-800-555-5067,person@agency.gov,1
West County Agency,Collection | Treatment,752728,Person from West County Agency,Job Title,1-800-555-2126,person@agency.gov,3
Sacramento City,Interception | Treatment | Disposal,343552,Person from Sacramento City,Job Title,1-800-555-2889,person@agency.gov,6
Corning City, Interception | Disposal,272989,Person from Corning City,Job Title,1-800-555-5623,person@agency.gov,10
Crescent City,Collection | Disposal,807158,Person from Crescent City,Job Title,1-800-555-1189,person@agency.gov,9
Coachella Valley WD,Collection | Interception | Treatment | Disposal,25350,Person from Coachella Valley WD,Job Title,1-800-555-3802,person@agency.gov,1
Camarillo Sanitary District,Collection | Interception | Treatment,780352,Person from Camarillo Sanitary District,Job Title,1-800-555-2569,person@agency.gov,2
Camrosa Water District, Interception | Disposal,380976,Person from Camrosa Water District,Job Title,1-800-555-5803,person@agency.gov,10
Pinole City,Collection | Interception | Treatment | Disposal,322603,Person from Pinole City,Job Title,1-800-555-9267,person@agency.gov,1
Davis City, Interception | Disposal,487963,Person from Davis City,Job Title,1-800-555-2916,person@agency.gov,10
El Dorado Irrigation District,Collection | Interception | Treatment | Disposal,108568,Person from El Dorado Irrigation District,Job Title,1-800-555-9001,person@agency.gov,1
Delta Diablo,Treatment,168864,Person from Delta Diablo,Job Title,1-800-555-7027,person@agency.gov,5
Town of Discovery Bay CSD,Treatment | Disposal,43224,Person from Town of Discovery Bay CSD,Job Title,1-800-555-7727,person@agency.gov,4
Roseville City, Interception | Disposal,588942,Person from Roseville City,Job Title,1-800-555-3196,person@agency.gov,10
Dublin San Ramon Services District (WWTP NPDES & SSO),Collection | Treatment,2703,Person from Dublin San Ramon Services District (WWTP NPDES & SSO),Job Title,1-800-555-4801,person@agency.gov,3
Vacaville City DPW, Interception | Disposal,237958,Person from Vacaville City DPW,Job Title,1-800-555-8049,person@agency.gov,10
East Bay Dischargers Authority,Collection | Interception | Treatment | Disposal,920721,Person from East Bay Dischargers Authority,Job Title,1-800-555-3615,person@agency.gov,1
East Bay MUD (WPCP),Treatment,345254,Person from East Bay MUD (WPCP),Job Title,1-800-555-3740,person@agency.gov,5
